Identity,User,Date,Average of IR Signal Ratio,Sum of IR Signal Ratio,Day of the Week,Month,Weekday/Weekend,Weekin Month,Week in Year,Moving Averages,Maximum Ratios,Minimum Ratios,very_active_minutes,lightly_active_minutes,sedentary_minutes,moderately_active_minutes,Total Active Minutes,Average Active Minutes,Average Calories,Sum of Calories,Percentage calories,Total Calories Per User,Maximum Calories Per User,Minimum Calories Per User,Average Calories Per Day,BPM,Percentage BPM,Average steps,Sum of steps,Average Steps by User,Total Steps by User,Total Steps by Month and User,Steps Category
Masai,M09,17-Jun-23,16,1180,Saturday,June,Weekend,Week 3,Week 24,18,21,14,115,62,1247,16,1440,360,1.76,2531,176%,91299,4333,744,2174,74,74%,47,15562,33,393079,376553,High Activity
Masai,M10,17-Jun-23,16,1114,Saturday,June,Weekend,Week 3,Week 24,18,22,13,98,238,1074,30,1440,360,2.15,3089,215%,114882,4648,1272,2345,75,75%,32,20306,25,482588,312863,High Activity
Masai,M11,19-Jun-23,17,2921,Monday,June,Weekday,Week 4,Week 25,18,24,4,205,275,880,80,1440,360,2.9,4177,290%,121229,4874,1287,2474,86,86%,37,31874,29,597404,419530,High Activity
Masai,M12,24-Jun-23,19,209,Saturday,June,Weekend,Week 4,Week 25,18,23,17,146,276,988,30,1440,360,2.12,3060,212%,102701,3639,1146,2096,72,72%,37,27823,26,437753,267441,High Activity
Masai,M13,17-Jun-23,19,833,Saturday,June,Weekend,Week 3,Week 24,17,22,15,20,253,1120,47,1440,360,1.85,2666,185%,103076,3821,1210,2104,69,69%,25,15220,22,374369,275785,High Activity
Masai,M13,28-Jun-23,19,3118,Wednesday,June,Weekday,Week 5,Week 26,17,22,15,83,313,983,61,1440,360,2.17,3127,217%,103076,3821,1210,2104,77,77%,28,22461,22,374369,275785,High Activity
Masai,M13,07-Jul-23,19,1456,Friday,July,Weekday,Week 2,Week 27,17,22,15,37,166,1224,13,1440,360,1.46,2102,146%,103076,3821,1210,2104,76,76%,21,9073,22,374369,98584,Moderate Activity
Masai,M15,17-Jun-23,3,11,Saturday,June,Weekend,Week 3,Week 24,17,24,3,129,237,1039,35,1440,360,2.34,3367,234%,126376,5422,1359,2579,78,78%,34,23497,29,558233,345698,High Activity
Masai,M15,27-Jun-23,21,320,Tuesday,June,Weekday,Week 5,Week 26,17,24,3,72,331,1007,30,1440,360,2.29,3294,229%,126376,5422,1359,2579,79,79%,28,24902,29,558233,345698,High Activity
Masai,M16,17-Jun-23,17,284,Saturday,June,Weekend,Week 3,Week 24,17,21,14,4,247,1157,32,1440,360,1.82,2624,182%,113684,4379,1320,2320,75,75%,16,10190,23,417057,273159,High Activity
Masai,M17,17-Jun-23,13,177,Saturday,June,Weekend,Week 3,Week 24,17,21,13,5,249,1171,15,1440,360,1.83,2641,183%,115832,3719,1757,2364,74,74%,14,8618,16,319229,178826,Moderate Activity
Masai,M18,07-Jul-23,16,688,Friday,July,Weekday,Week 2,Week 27,17,22,16,0,109,1331,0,1440,360,1.28,1837,128%,103457,3337,1308,2111,63,63%,12,3544,20,305096,85997,Low Activity
Masai,M20,17-Jun-23,14,844,Saturday,June,Weekend,Week 3,Week 24,16,19,14,31,198,1186,25,1440,360,1.22,1763,122%,111541,4818,1123,2276,70,70%,19,10890,21,438380,278626,High Activity
Urban,U01,25-Jun-23,14,93,Sunday,June,Weekend,Week 4,Week 25,17,24,7,1,46,1381,12,1440,360,1.13,1633,113%,77328,2129,1426,1578,92,92%,8,1426,10,67571,20460,Low Activity
Urban,U01,01-Jul-23,17,607,Saturday,July,Weekend,Week 1,Week 26,17,24,7,2,138,1293,7,1440,360,1.28,1841,128%,77328,2129,1426,1578,86,86%,10,3890,10,67571,47111,Low Activity
Urban,U01,05-Jul-23,19,1298,Wednesday,July,Weekday,Week 2,Week 27,17,24,7,2,177,1255,6,1440,360,1.33,1908,133%,77328,2129,1426,1578,80,80%,14,5965,10,67571,47111,Moderate Activity
Urban,U02,08-Jul-23,18,3391,Saturday,July,Weekend,Week 2,Week 27,17,20,15,7,135,1295,3,1440,360,1.4,2023,140%,76146,2023,1428,1554,81,81%,10,4727,7,4956,4935,Low Activity
Urban,U03,20-Jun-23,11,158,Tuesday,June,Weekday,Week 4,Week 25,17,20,10,0,6,1434,0,1440,360,1.08,1556,108%,85297,2431,1386,1741,76,76%,2,96,11,75234,48060,Low Activity
Urban,U03,24-Jun-23,16,540,Saturday,June,Weekend,Week 4,Week 25,17,20,10,0,105,1335,0,1440,360,1.28,1841,128%,85297,2431,1386,1741,82,82%,8,2309,11,75234,48060,Low Activity
Urban,U03,25-Jun-23,15,501,Sunday,June,Weekend,Week 4,Week 25,17,20,10,14,226,1171,29,1440,360,1.69,2431,169%,85297,2431,1386,1741,86,86%,12,7493,11,75234,48060,Moderate Activity
Urban,U03,29-Jun-23,10,152,Thursday,June,Weekday,Week 5,Week 26,17,20,10,0,37,1403,0,1440,360,1.15,1660,115%,85297,2431,1386,1741,91,91%,26,1383,11,75234,48060,Low Activity
Urban,U03,01-Jul-23,14,175,Saturday,July,Weekend,Week 1,Week 26,17,20,10,0,99,1341,0,1440,360,1.23,1777,123%,85297,2431,1386,1741,82,82%,11,2592,11,75234,27174,Low Activity
Urban,U03,05-Jul-23,17,4118,Wednesday,July,Weekday,Week 2,Week 27,17,20,10,0,172,1268,0,1440,360,1.4,2011,140%,85297,2431,1386,1741,82,82%,13,5306,11,75234,27174,Moderate Activity
Urban,U06,25-Jun-23,17,2952,Sunday,June,Weekend,Week 4,Week 25,18,22,14,0,51,1389,0,1440,360,1.98,2847,198%,144411,3874,1233,1828,70,70%,7,1243,15,149672,51311,Low Activity
Urban,U06,25-Jun-23,17,2952,Sunday,June,Weekend,Week 4,Week 25,18,22,14,0,51,1389,0,1440,360,1.01,1458,101%,144411,3874,1233,1828,70,70%,7,1243,15,149672,51311,Low Activity
Urban,U07,08-Jul-23,18,1556,Saturday,July,Weekend,Week 2,Week 27,18,20,12,0,2,1438,0,1440,360,1.45,2093,145%,108156,3720,1426,1865,70,70%,13,26,8,26074,2282,Low Activity
Urban,U07,08-Jul-23,18,1556,Saturday,July,Weekend,Week 2,Week 27,18,20,12,0,2,1438,0,1440,360,1.1,1588,110%,108156,3720,1426,1865,70,70%,13,26,8,26074,2282,Low Activity
Urban,U08,25-Jun-23,18,2730,Sunday,June,Weekend,Week 4,Week 25,18,26,12,0,93,1347,0,1440,360,0.83,1194,83%,60419,1856,975,1233,79,79%,11,2422,13,123878,58713,Low Activity
Urban,U08,30-Jun-23,12,145,Friday,June,Weekday,Week 5,Week 26,17,26,12,1,393,1008,38,1440,360,1.18,1698,118%,60419,1856,975,1233,85,85%,13,11260,13,123878,58713,High Activity
Urban,U09,25-Jun-23,18,2668,Sunday,June,Weekend,Week 4,Week 25,17,22,16,0,219,1221,0,1440,360,1.24,1791,124%,87480,3330,1339,1785,74,74%,8,4110,21,267929,83880,Low Activity
Urban,U10,01-Jul-23,17,210,Saturday,July,Weekend,Week 1,Week 26,17,21,15,9,256,1149,26,1440,360,1.83,2640,183%,101232,2900,1574,2066,80,80%,6,4254,9,94913,12515,Low Activity
Urban,U10,08-Jul-23,18,2600,Saturday,July,Weekend,Week 2,Week 27,17,21,15,0,16,1424,0,1440,360,1.19,1715,119%,101232,2900,1574,2066,86,86%,5,218,9,94913,12515,Low Activity
Urban,U12,08-Jul-23,18,3272,Saturday,July,Weekend,Week 2,Week 27,17,20,12,0,2,1438,0,1440,360,1.1,1588,110%,86536,3062,1539,1766,76,76%,8,32,7,42340,1910,Low Activity
Urban,U13,25-Jun-23,10,148,Sunday,June,Weekend,Week 4,Week 25,17,20,10,0,150,1290,0,1440,360,1.33,1920,133%,89589,2719,1498,1828,72,72%,9,3076,10,94710,39402,Low Activity
Urban,U14,25-Jun-23,13,531,Sunday,June,Weekend,Week 4,Week 25,17,16,13,39,101,1268,32,1440,360,1.74,2504,174%,96791,3360,1048,1898,76,76%,23,8998,18,83247,73821,Moderate Activity
Urban,U14,28-Jun-23,16,617,Wednesday,June,Weekday,Week 5,Week 26,17,16,13,20,62,1327,31,1440,360,1.52,2194,152%,96791,3360,1048,1898,70,70%,21,5990,18,83247,73821,Moderate Activity
Urban,U15,25-Jun-23,19,372,Sunday,June,Weekend,Week 4,Week 25,18,22,14,75,101,1247,17,1440,360,2.07,2978,207%,118581,4909,1901,2420,71,71%,29,12315,20,221537,47316,High Activity
Urban,U15,28-Jun-23,21,209,Wednesday,June,Weekday,Week 5,Week 26,18,22,14,77,199,1128,36,1440,360,2.47,3554,247%,118581,4909,1901,2420,69,69%,20,14462,20,221537,47316,High Activity
Urban,U15,07-Jul-23,14,112,Friday,July,Weekday,Week 2,Week 27,18,22,14,82,67,1261,30,1440,360,2.16,3109,216%,118581,4909,1901,2420,88,88%,28,10443,20,221537,174221,High Activity
Urban,U16,25-Jun-23,26,2219,Sunday,June,Weekend,Week 4,Week 25,18,26,16,10,74,1342,14,1440,360,1.34,1936,134%,97338,3654,996,1909,68,68%,14,3734,15,117727,104304,Low Activity
Urban,U17,25-Jun-23,12,432,Sunday,June,Weekend,Week 4,Week 25,17,19,12,27,85,1292,36,1440,360,1.62,2334,162%,97952,3822,2,1959,83,83%,13,4812,14,77340,47852,Low Activity
Urban,U17,08-Jul-23,15,2377,Saturday,July,Weekend,Week 2,Week 27,18,19,12,42,99,1281,18,1440,360,1.63,2354,163%,97952,3822,2,1959,85,85%,17,6610,14,77340,29488,Moderate Activity
Urban,U18,25-Jun-23,18,768,Sunday,June,Weekend,Week 4,Week 25,18,32,10,0,122,1318,0,1440,360,1.76,2530,176%,107824,4181,43,2156,89,89%,8,3557,12,73614,40042,Low Activity
Urban,U18,03-Jul-23,32,160,Monday,July,Weekday,Week 2,Week 27,18,32,10,27,83,1320,10,1440,360,1.85,2669,185%,107824,4181,43,2156,106,106%,24,4544,12,73614,33572,Low Activity
Urban,U18,04-Jul-23,10,100,Tuesday,July,Weekday,Week 2,Week 27,17,32,10,0,44,1396,0,1440,360,1.45,2094,145%,107824,4181,43,2156,92,92%,11,928,12,73614,33572,Low Activity
Urban,U18,05-Jul-23,17,792,Wednesday,July,Weekday,Week 2,Week 27,18,32,10,0,189,1243,8,1440,360,1.88,2707,188%,107824,4181,43,2156,84,84%,9,4970,12,73614,33572,Low Activity
Urban,U18,06-Jul-23,11,51,Thursday,July,Weekday,Week 2,Week 27,18,32,10,12,155,1262,11,1440,360,1.85,2666,185%,107824,4181,43,2156,85,85%,9,5223,12,73614,33572,Moderate Activity
Urban,U18,07-Jul-23,11,85,Friday,July,Weekday,Week 2,Week 27,18,32,10,20,161,1240,19,1440,360,2.05,2957,205%,107824,4181,43,2156,95,95%,27,10068,12,73614,33572,High Activity
Urban,U18,08-Jul-23,11,92,Saturday,July,Weekend,Week 2,Week 27,18,32,10,0,23,1417,0,1440,360,1.42,2039,142%,107824,4181,43,2156,91,91%,13,711,12,73614,33572,Low Activity
Urban,U19,25-Jun-23,14,386,Sunday,June,Weekend,Week 4,Week 25,18,22,14,2,97,1323,18,1440,360,1.14,1644,114%,87771,3332,30,1755,76,76%,15,4437,18,213827,76517,Low Activity
Urban,U19,03-Jul-23,18,1078,Monday,July,Weekday,Week 2,Week 27,18,22,14,80,189,1122,49,1440,360,1.68,2415,168%,87771,3332,30,1755,81,81%,33,15735,18,213827,137310,High Activity
Urban,U20,25-Jun-23,8,63,Sunday,June,Weekend,Week 4,Week 25,17,22,8,0,165,1275,0,1440,360,1.48,2136,148%,98463,3594,1105,1931,74,74%,14,4808,12,84410,72879,Low Activity
Masai,M07,07-Jul-23,17,3265,Friday,July,Weekday,Week 2,Week 27,18,23,13,28,283,682,22,1015,253.75,1.83,2635,183%,108611,3935,1251,2217,64,64%,17,9804,25,389145,136573,Moderate Activity
Masai,M07,07-Jul-23,23,3676,Friday,July,Weekday,Week 2,Week 27,18,23,13,28,283,682,22,1015,253.75,1.83,2635,183%,108611,3935,1251,2217,64,64%,17,9804,25,389145,136573,Moderate Activity
Masai,M07,22-Jun-23,17,3606,Thursday,June,Weekday,Week 4,Week 25,18,23,13,23,262,422,16,723,180.75,1.77,2553,177%,108611,3935,1251,2217,62,62%,14,9059,25,389145,252572,Moderate Activity
Masai,M07,23-Jun-23,17,3695,Friday,June,Weekday,Week 4,Week 25,18,23,13,0,100,748,0,848,212,1.29,1863,129%,108611,3935,1251,2217,55,55%,11,2773,25,389145,252572,Low Activity
Masai,M08,01-Jul-23,16,2368,Saturday,July,Weekend,Week 1,Week 26,18,20,14,32,99,436,41,608,152,1.52,2185,152%,104424,4190,1224,2131,73,73%,37,9698,29,376559,9698,Moderate Activity
Masai,M09,28-Jun-23,16,140,Wednesday,June,Weekday,Week 5,Week 26,18,21,14,12,103,1268,33,1416,354,1.42,2042,142%,91299,4333,744,2174,74,74%,24,7175,33,393079,376553,Moderate Activity
Urban,U06,27-Jun-23,18,3401,Tuesday,June,Weekday,Week 5,Week 26,18,22,14,0,89,789,8,886,221.5,1.53,2199,153%,144411,3874,1233,1828,71,71%,9,2630,15,149672,51311,Low Activity
Urban,U06,27-Jun-23,18,3401,Tuesday,June,Weekday,Week 5,Week 26,18,22,14,0,89,789,8,886,221.5,1.09,1570,109%,144411,3874,1233,1828,71,71%,9,2630,15,149672,51311,Low Activity
Urban,U06,28-Jun-23,18,3319,Wednesday,June,Weekday,Week 5,Week 26,18,22,14,0,79,763,0,842,210.5,1.73,2488,173%,144411,3874,1233,1828,71,71%,5,2972,15,149672,51311,Low Activity
Urban,U06,28-Jun-23,18,3319,Wednesday,June,Weekday,Week 5,Week 26,18,22,14,0,79,763,0,842,210.5,1.08,1551,108%,144411,3874,1233,1828,71,71%,5,2972,15,149672,51311,Low Activity
Urban,U06,06-Jul-23,21,6801,Thursday,July,Weekday,Week 2,Week 27,18,22,14,1,179,532,12,724,181,1.28,1839,128%,144411,3874,1233,1828,78,78%,13,6037,15,149672,98361,Moderate Activity
Urban,U06,07-Jul-23,20,3440,Friday,July,Weekday,Week 2,Week 27,18,22,14,8,219,724,4,955,238.75,1.31,1886,131%,144411,3874,1233,1828,81,81%,10,5576,15,149672,98361,Moderate Activity
Urban,U07,25-Jun-23,20,1364,Sunday,June,Weekend,Week 4,Week 25,18,20,12,0,128,1139,0,1267,316.75,1.31,1891,131%,108156,3720,1426,1865,74,74%,5,1741,8,26074,23792,Low Activity
Urban,U07,26-Jun-23,12,1657,Monday,June,Weekday,Week 5,Week 26,18,20,12,6,231,675,35,947,236.75,1.71,2458,171%,108156,3720,1426,1865,75,75%,14,7924,8,26074,23792,Moderate Activity
Urban,U07,27-Jun-23,17,2507,Tuesday,June,Weekday,Week 5,Week 26,18,20,12,0,303,625,0,928,232,1.63,2349,163%,108156,3720,1426,1865,79,79%,7,5330,8,26074,23792,Moderate Activity
Urban,U07,28-Jun-23,18,4105,Wednesday,June,Weekday,Week 5,Week 26,18,20,12,0,129,701,0,830,207.5,1.3,1875,130%,108156,3720,1426,1865,72,72%,5,1828,8,26074,23792,Low Activity
Urban,U07,29-Jun-23,19,4360,Thursday,June,Weekday,Week 5,Week 26,18,20,12,0,197,549,0,746,186.5,1.46,2108,146%,108156,3720,1426,1865,74,74%,8,4509,8,26074,23792,Low Activity
Urban,U07,30-Jun-23,18,2815,Friday,June,Weekday,Week 5,Week 26,18,20,12,0,205,785,0,990,247.5,1.41,2029,141%,108156,3720,1426,1865,75,75%,4,2460,8,26074,23792,Low Activity
Urban,U07,01-Jul-23,19,1989,Saturday,July,Weekend,Week 1,Week 26,18,20,12,0,136,822,0,958,239.5,2.58,3720,258%,108156,3720,1426,1865,78,78%,8,2256,8,26074,2282,Low Activity
Urban,U07,01-Jul-23,19,1989,Saturday,July,Weekend,Week 1,Week 26,18,20,12,0,136,822,0,958,239.5,1.32,1902,132%,108156,3720,1426,1865,78,78%,8,2256,8,26074,2282,Low Activity
Urban,U08,28-Jun-23,22,4992,Wednesday,June,Weekday,Week 5,Week 26,18,26,12,0,310,634,0,944,236,1.05,1507,105%,60419,1856,975,1233,83,83%,7,5423,13,123878,58713,Moderate Activity
Urban,U13,27-Jun-23,18,2741,Tuesday,June,Weekday,Week 5,Week 26,18,20,10,0,181,834,0,1015,253.75,1.44,2068,144%,89589,2719,1498,1828,71,71%,7,4671,10,94710,39402,Low Activity
Urban,U13,28-Jun-23,15,1521,Wednesday,June,Weekday,Week 5,Week 26,18,20,10,0,231,915,0,1146,286.5,1.55,2238,155%,89589,2719,1498,1828,73,73%,7,5523,10,94710,39402,Moderate Activity
Urban,U13,29-Jun-23,19,3713,Thursday,June,Weekday,Week 5,Week 26,18,20,10,9,248,796,3,1056,264,1.66,2395,166%,89589,2719,1498,1828,75,75%,13,9403,10,94710,39402,Moderate Activity
Urban,U13,30-Jun-23,20,3873,Friday,June,Weekday,Week 5,Week 26,18,20,10,0,214,623,0,837,209.25,1.51,2177,151%,89589,2719,1498,1828,72,72%,10,6687,10,94710,39402,Moderate Activity
Urban,U13,01-Jul-23,20,2818,Saturday,July,Weekend,Week 1,Week 26,18,20,10,6,284,805,9,1104,276,1.63,2347,163%,89589,2719,1498,1828,74,74%,8,6582,10,94710,55308,Moderate Activity
Urban,U14,29-Jun-23,15,1988,Thursday,June,Weekday,Week 5,Week 26,18,16,13,52,208,663,30,953,238.25,2.02,2913,202%,96791,3360,1048,1898,80,80%,11,8577,18,83247,73821,Moderate Activity
Urban,U14,30-Jun-23,15,1925,Friday,June,Weekday,Week 5,Week 26,18,16,13,44,202,911,58,1215,303.75,2.04,2934,204%,96791,3360,1048,1898,75,75%,15,8692,18,83247,73821,Moderate Activity
Urban,U14,01-Jul-23,15,2227,Saturday,July,Weekend,Week 1,Week 26,18,16,13,42,88,647,39,816,204,1.72,2472,172%,96791,3360,1048,1898,73,73%,39,9426,18,83247,9426,Moderate Activity
Urban,U15,26-Jun-23,18,3650,Monday,June,Weekday,Week 5,Week 26,18,22,14,0,74,916,0,990,247.5,1.55,2228,155%,118581,4909,1901,2420,56,56%,9,2449,20,221537,47316,Low Activity
Urban,U15,27-Jun-23,17,2866,Tuesday,June,Weekday,Week 5,Week 26,18,22,14,0,71,855,0,926,231.5,1.53,2209,153%,118581,4909,1901,2420,56,56%,10,2303,20,221537,47316,Low Activity
Urban,U15,29-Jun-23,15,2232,Thursday,June,Weekday,Week 5,Week 26,18,22,14,53,163,882,31,1129,282.25,2.35,3377,235%,118581,4909,1901,2420,68,68%,10,9070,20,221537,47316,Moderate Activity
Urban,U15,30-Jun-23,17,3456,Friday,June,Weekday,Week 5,Week 26,18,22,14,26,137,717,10,890,222.5,1.88,2705,188%,118581,4909,1901,2420,58,58%,15,6717,20,221537,47316,Moderate Activity
Urban,U16,27-Jun-23,19,3750,Tuesday,June,Weekday,Week 5,Week 26,18,26,16,17,281,509,9,816,204,1.8,2585,180%,97338,3654,996,1909,72,72%,10,8822,15,117727,104304,Moderate Activity
Urban,U16,28-Jun-23,20,4362,Wednesday,June,Weekday,Week 5,Week 26,18,26,16,20,228,721,18,987,246.75,1.85,2659,185%,97338,3654,996,1909,75,75%,10,9104,15,117727,104304,Moderate Activity
Urban,U18,27-Jun-23,19,4709,Tuesday,June,Weekday,Week 5,Week 26,18,32,10,19,130,616,45,810,202.5,2.04,2937,204%,107824,4181,43,2156,80,80%,10,5318,12,73614,40042,Moderate Activity
Urban,U18,28-Jun-23,17,4019,Wednesday,June,Weekday,Week 5,Week 26,18,32,10,4,177,793,11,985,246.25,2.06,2968,206%,107824,4181,43,2156,82,82%,6,4238,12,73614,40042,Low Activity
Urban,U18,29-Jun-23,17,1582,Thursday,June,Weekday,Week 5,Week 26,18,32,10,0,218,721,0,939,234.75,2.02,2904,202%,107824,4181,43,2156,80,80%,4,3384,12,73614,40042,Low Activity
Urban,U18,01-Jul-23,18,3128,Saturday,July,Weekend,Week 1,Week 26,18,32,10,65,115,819,26,1025,256.25,2.26,3257,226%,107824,4181,43,2156,89,89%,17,7128,12,73614,33572,Moderate Activity
Urban,U19,28-Jun-23,21,4631,Wednesday,June,Weekday,Week 5,Week 26,19,22,14,0,241,653,0,894,223.5,1.37,1971,137%,87771,3332,30,1755,76,76%,6,4438,18,213827,76517,Low Activity
Urban,U19,02-Jul-23,22,3237,Sunday,July,Weekend,Week 1,Week 26,18,22,14,0,53,838,0,891,222.75,1,1443,100%,87771,3332,30,1755,62,62%,6,861,18,213827,137310,Low Activity
Urban,U20,29-Jun-23,22,3470,Thursday,June,Weekday,Week 5,Week 26,18,22,8,0,271,764,0,1035,258.75,1.63,2353,163%,98463,3594,1105,1931,73,73%,9,5311,12,84410,72879,Moderate Activity
Masai,M02,28-Jun-23,15,2278,Wednesday,June,Weekday,Week 5,Week 26,17,21,12,0,173,650,43,866,216.5,1.16,1665,116%,76364,2193,932,1558,88,88%,23,9931,19,265649,161431,Moderate Activity
Masai,M02,30-Jun-23,15,3056,Friday,June,Weekday,Week 5,Week 26,17,21,12,2,143,555,35,735,183.75,1.11,1593,111%,76364,2193,932,1558,81,81%,19,8482,19,265649,161431,Moderate Activity
Masai,M02,03-Jul-23,13,2877,Monday,July,Weekday,Week 2,Week 27,17,21,12,0,235,572,0,807,201.75,1.11,1593,111%,76364,2193,932,1558,81,81%,11,5846,19,265649,104218,Moderate Activity
Masai,M02,04-Jul-23,12,2609,Tuesday,July,Weekday,Week 2,Week 27,17,21,12,15,176,651,38,880,220,1.18,1706,118%,76364,2193,932,1558,84,84%,17,9643,19,265649,104218,Moderate Activity
Masai,M13,20-Jun-23,17,437,Tuesday,June,Weekday,Week 4,Week 25,17,22,15,9,314,669,9,1001,250.25,1.57,2264,157%,103076,3821,1210,2104,62,62%,13,9218,22,374369,275785,Moderate Activity
Masai,M13,05-Jul-23,20,4049,Wednesday,July,Weekday,Week 2,Week 27,17,22,15,4,270,587,8,869,217.25,1.5,2159,150%,103076,3821,1210,2104,73,73%,13,6957,22,374369,98584,Moderate Activity
Masai,M14,28-Jun-23,16,4150,Wednesday,June,Weekday,Week 5,Week 26,17,20,15,45,115,803,45,1008,252,1.65,2380,165%,110144,4643,1291,2248,59,59%,21,9957,22,395377,273356,Moderate Activity
Masai,M14,03-Jul-23,18,2969,Monday,July,Weekday,Week 2,Week 27,17,20,15,24,154,847,20,1045,261.25,1.55,2232,155%,110144,4643,1291,2248,60,60%,13,6718,22,395377,122021,Moderate Activity
Masai,M18,23-Jun-23,17,4482,Friday,June,Weekday,Week 4,Week 25,17,22,16,12,209,540,10,771,192.75,1.6,2302,160%,103457,3337,1308,2111,67,67%,16,9075,20,305096,219099,Moderate Activity
Masai,M18,24-Jun-23,20,3649,Saturday,June,Weekend,Week 4,Week 25,17,22,16,11,261,589,6,867,216.75,1.59,2284,159%,103457,3337,1308,2111,63,63%,15,9006,20,305096,219099,Moderate Activity
Masai,M18,29-Jun-23,19,4999,Thursday,June,Weekday,Week 5,Week 26,17,22,16,1,374,805,35,1215,303.75,1.93,2772,193%,103457,3337,1308,2111,79,79%,5,3964,20,305096,219099,Low Activity
Masai,M18,30-Jun-23,18,4801,Friday,June,Weekday,Week 5,Week 26,17,22,16,4,163,458,75,700,175,1.69,2438,169%,103457,3337,1308,2111,77,77%,5,3475,20,305096,219099,Low Activity
Masai,M18,03-Jul-23,18,4692,Monday,July,Weekday,Week 2,Week 27,17,22,16,6,201,698,5,910,227.5,1.53,2197,153%,103457,3337,1308,2111,67,67%,11,7172,20,305096,85997,Moderate Activity
Masai,M18,04-Jul-23,19,3881,Tuesday,July,Weekday,Week 2,Week 27,17,22,16,1,256,453,11,721,180.25,1.62,2326,162%,103457,3337,1308,2111,64,64%,17,9949,20,305096,85997,Moderate Activity
Masai,M18,08-Jul-23,20,4094,Saturday,July,Weekend,Week 2,Week 27,17,22,16,46,86,706,4,842,210.5,1.45,2086,145%,103457,3337,1308,2111,67,67%,39,8180,20,305096,85997,Moderate Activity
Urban,U01,02-Jul-23,16,4804,Sunday,July,Weekend,Week 1,Week 26,17,24,7,0,157,687,0,844,211,1.26,1821,126%,77328,2129,1426,1578,82,82%,10,4215,10,67571,47111,Low Activity
Urban,U01,03-Jul-23,14,3062,Monday,July,Weekday,Week 2,Week 27,17,24,7,4,212,526,15,757,189.25,1.43,2060,143%,77328,2129,1426,1578,82,82%,18,8425,10,67571,47111,Moderate Activity
Urban,U01,06-Jul-23,15,3608,Thursday,July,Weekday,Week 2,Week 27,17,24,7,0,138,577,0,715,178.75,1.24,1785,124%,77328,2129,1426,1578,78,78%,12,4486,10,67571,47111,Low Activity
Urban,U01,07-Jul-23,16,3565,Friday,July,Weekday,Week 2,Week 27,17,24,7,0,252,571,0,823,205.75,1.42,2048,142%,77328,2129,1426,1578,81,81%,12,6836,10,67571,47111,Moderate Activity
Urban,U01,08-Jul-23,16,2782,Saturday,July,Weekend,Week 2,Week 27,17,24,7,2,221,600,15,838,209.5,1.41,2032,141%,77328,2129,1426,1578,83,83%,12,6524,10,67571,47111,Moderate Activity
Urban,U01,09-Jul-23,15,3316,Sunday,July,Weekend,Week 2,Week 27,17,24,7,0,211,553,0,764,191,1.45,1836,145%,77328,2129,1426,1578,83,83%,17,6770,10,67571,47111,Moderate Activity
Urban,U02,09-Jul-23,16,1962,Sunday,July,Weekend,Week 2,Week 27,17,20,15,0,17,815,0,832,208,1.12,1428,112%,76146,2023,1428,1554,73,73%,5,208,7,4956,4935,Low Activity
Urban,U03,21-Jun-23,19,4565,Wednesday,June,Weekday,Week 4,Week 25,17,20,10,0,148,799,0,947,236.75,1.39,2004,139%,85297,2431,1386,1741,77,77%,12,3896,11,75234,48060,Low Activity
Urban,U03,22-Jun-23,20,3828,Thursday,June,Weekday,Week 4,Week 25,17,20,10,0,186,672,0,858,214.5,1.47,2118,147%,85297,2431,1386,1741,79,79%,12,4753,11,75234,48060,Low Activity
Urban,U03,23-Jun-23,17,2924,Friday,June,Weekday,Week 4,Week 25,17,20,10,0,24,873,0,897,224.25,1.11,1599,111%,85297,2431,1386,1741,70,70%,5,323,11,75234,48060,Low Activity
Urban,U03,26-Jun-23,18,3309,Monday,June,Weekday,Week 5,Week 26,17,20,10,0,92,929,0,1021,255.25,1.21,1738,121%,85297,2431,1386,1741,75,75%,9,1635,11,75234,48060,Low Activity
Urban,U03,27-Jun-23,17,2807,Tuesday,June,Weekday,Week 5,Week 26,17,20,10,0,153,803,0,956,239,1.34,1937,134%,85297,2431,1386,1741,78,78%,17,4224,11,75234,48060,Low Activity
Urban,U03,02-Jul-23,16,2991,Sunday,July,Weekend,Week 1,Week 26,17,20,10,0,199,779,0,978,244.5,1.4,2017,140%,85297,2431,1386,1741,79,79%,9,3989,11,75234,27174,Low Activity
Urban,U03,03-Jul-23,17,3161,Monday,July,Weekday,Week 2,Week 27,17,20,10,0,101,831,0,932,233,1.25,1795,125%,85297,2431,1386,1741,76,76%,13,2649,11,75234,27174,Low Activity
Urban,U03,06-Jul-23,19,3502,Thursday,July,Weekday,Week 2,Week 27,17,20,10,0,198,712,0,910,227.5,1.45,2083,145%,85297,2431,1386,1741,79,79%,10,5616,11,75234,27174,Moderate Activity
Urban,U03,07-Jul-23,11,92,Friday,July,Weekday,Week 2,Week 27,17,20,10,7,62,930,4,1003,250.75,1.22,1763,122%,85297,2431,1386,1741,76,76%,14,2462,11,75234,27174,Low Activity
Urban,U08,29-Jun-23,20,3236,Thursday,June,Weekday,Week 5,Week 26,17,26,12,0,399,650,0,1049,262.25,1.12,1620,112%,60419,1856,975,1233,84,84%,12,8507,13,123878,58713,Moderate Activity
Urban,U08,01-Jul-23,18,2886,Saturday,July,Weekend,Week 1,Week 26,17,26,12,0,311,660,0,971,242.75,1.06,1532,106%,60419,1856,975,1233,81,81%,12,7783,13,123878,65165,Moderate Activity
