Identity,User,Date,Average of IR Signal Ratio,Sum of IR Signal Ratio,Day of the Week,Month,Weekday/Weekend,Weekin Month,Week in Year,Moving Averages,Maximum Ratios,Minimum Ratios,very_active_minutes,lightly_active_minutes,sedentary_minutes,moderately_active_minutes,Total Active Minutes,Average Active Minutes,Average Calories,Sum of Calories,Percentage calories,Total Calories Per User,Maximum Calories Per User,Minimum Calories Per User,Average Calories Per Day,BPM,Percentage BPM,Average steps,Sum of steps,Average Steps by User,Total Steps by User,Total Steps by Month and User,Steps Category
Masai,M20,08-Jul-23,17,2752,Saturday,July,Weekend,Week 2,Week 27,17,19,14,33,184,669,30,916,229,1.88,2701,188%,111541,4818,1123,2276,79,79%,30,12884,21,438380,159754,High Activity
Masai,M03,26-Jun-23,18,3948,Monday,June,Weekday,Week 5,Week 26,17,21,14,2,259,711,14,986,246.5,1.24,1787,124%,84689,2521,942,1728,82,82%,15,8625,16,322262,191282,Moderate Activity
Masai,M10,20-Jun-23,17,2449,Tuesday,June,Weekday,Week 4,Week 25,18,22,13,0,222,619,10,851,212.75,1.64,2359,164%,114882,4648,1272,2345,74,74%,10,8128,25,482588,312863,Moderate Activity
Masai,M10,29-Jun-23,17,4254,Thursday,June,Weekday,Week 5,Week 26,18,22,13,35,301,432,73,841,210.25,2.12,3056,212%,114882,4648,1272,2345,86,86%,10,8753,25,482588,312863,Moderate Activity
Masai,M11,22-Jun-23,21,3561,Thursday,June,Weekday,Week 4,Week 25,18,24,4,18,241,754,12,1025,256.25,1.67,2410,167%,121229,4874,1287,2474,67,67%,18,9199,29,597404,419530,Moderate Activity
Masai,M16,04-Jul-23,14,3987,Tuesday,July,Weekday,Week 2,Week 27,17,21,14,32,115,661,6,814,203.5,1.49,2143,149%,113684,4379,1320,2320,62,62%,7,2366,23,417057,143898,Low Activity
Masai,M16,06-Jul-23,15,3361,Thursday,July,Weekday,Week 2,Week 27,17,21,14,56,146,835,36,1073,268.25,1.76,2538,176%,113684,4379,1320,2320,68,68%,22,9924,23,417057,143898,Moderate Activity
Masai,M17,27-Jun-23,16,3483,Tuesday,June,Weekday,Week 5,Week 26,17,21,13,16,209,798,11,1034,258.5,1.77,2552,177%,115832,3719,1757,2364,73,73%,10,7620,16,319229,178826,Moderate Activity
Masai,M17,28-Jun-23,15,2765,Wednesday,June,Weekday,Week 5,Week 26,17,21,13,19,231,619,15,884,221,1.86,2682,186%,115832,3719,1757,2364,73,73%,12,9895,16,319229,178826,Moderate Activity
Masai,M17,29-Jun-23,16,3202,Thursday,June,Weekday,Week 5,Week 26,17,21,13,0,71,877,0,948,237,1.34,1928,134%,115832,3719,1757,2364,69,69%,6,1482,16,319229,178826,Low Activity
